"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Behavioral Ecology","Ecology & Evolution - Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","3940"
"Behavioral Neuroscience","Neurosciences - Behavioral Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","3742"
"Behavior Genetics","Ecology & Evolution - Genetics; Genetics & Genomics - Genetics","Springer Nature","For-profit associated with a society","Hybrid","2282"
"Behavioural and Cognitive Psychotherapy","Neurosciences - Clinical Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","Hybrid","2516"
"Behavioural Neurology","Neurosciences - Behavioral Neuroscience","John Wiley & Sons","For-profit","OA","1674"
"Behavioural Pharmacology","Neurosciences - Behavioral Neuroscience","Lippincott Williams and Wilkins","For-profit","Hybrid","3199"
"Belgian Journal of Zoology","Ecology & Evolution - Zoology","Royal Belgian Zoological Society","Non-profit","OA diamond","0"
"Biochemical and Biophysical Research Communications","Generalist","Elsevier","For-profit","Hybrid","2385"
"Biochemical Journal","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Portland Press Ltd","Non-profit","Hybrid","2264"
"Biochemical Pharmacology","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit","Hybrid","3079"
"Biochemical Society Transactions","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Portland Press Ltd","Non-profit","Hybrid","2326"
"Biochemistry and Cell Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Canadian Science Publishing","Non-profit","",""
"Biochemistry Journal","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Chemical Society (ACS)","Non-profit","Hybrid","4286"
"Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms","Genetics & Genomics - Epigenetics; Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","2733"
"Biochimica et Biophysica Acta - Bioenergetics","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3080"
"Biochimica et Biophysica Acta - Biomembranes","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3287"
"Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3671"
"Biochimica et Biophysica Acta - Molecular Basis of Diseases","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","",""
"Biochimica et Biophysica Acta - Molecular Cell Research","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3736"
"Biochimica et Biophysica Acta - Reviews on Cancer","Cancer - Generalist","Elsevier","For-profit","Hybrid","2845"
"Biochimie","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit associated with a society","Hybrid","1717"
"Bioconjugate Chemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Chemical Society (ACS)","Non-profit","Hybrid","2721"
"Biodiversity Information Science and Standards","Ecology & Evolution - Theory","Pensoft","For-profit associated with a society","OA",""
"BioDrugs","Molecular & Cellular Biology - Pharmacology and Toxicology","Springer Nature","For-profit","Hybrid","2663"
"Bioelectromagnetics","Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","2346"
"BioEssays","Genetics & Genomics - Generalist; Molecular & Cellular Biology - Miscellaneous / Interdisciplinary","John Wiley & Sons","For-profit","Hybrid","2798"
"Bioethics","Generalist - Bioethics","John Wiley & Sons","For-profit","Hybrid","2644"
"Biofactors","Molecular & Cellular Biology - Biochemistry and Molecular Biology","John Wiley & Sons","For-profit associated with a society","Hybrid","3050"
"Biogeographia","Ecology & Evolution - Applied Ecology","eScholarship","Non-profit","OA diamond","0"
"Biogerontology","Anatomy & Physiology - Aging; Development - Aging","Springer Nature","For-profit","Hybrid","3589"
"Bioinformatics","Ecology & Evolution - Theory; Generalist - Computational Biology","Oxford University Press (OUP)","University Press associated with a society","OA","3250"
"Bioinformatics Advances","Ecology & Evolution - Theory; Generalist - Computational Biology","Oxford University Press (OUP)","University Press associated with a society","OA","2370"
"Bioinorganic Chemistry and Applications","Molecular & Cellular Biology - Biochemistry and Molecular Biology","John Wiley & Sons","For-profit","OA","1091"
"Biological Chemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","De Gruyter Brill","For-profit","Hybrid","2271"
"Biological Chemistry and Chemical Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Chemical Society (ACS)","Non-profit","",""
"Biological Journal of the Linnean Society","Ecology & Evolution - Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","3305"
"Biological Procedures Online","Generalist - Methods","Springer Nature (BioMed Central)","For-profit","OA","2593"
"Biological Psychiatry","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","Hybrid","3082"
"Biological Psychiatry: Cognitive Neuroscience and Neuroimaging","Neurosciences - Generalist","Elsevier","For-profit associated with a society","Hybrid","2696"
"Biological Psychiatry: Global Open Science","Neurosciences - Generalist","Elsevier","For-profit associated with a society","OA","2689"
"Biological Research","Generalist","Springer Nature (BioMed Central)","For-profit associated with a society","OA","2414"
"Biological Reviews","Ecology & Evolution - Genetics; Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","2316"
"Biology and Philosophy","Generalist - History/Philosophy of Biology","Springer Nature","For-profit","Hybrid","2235"
"Biology Direct","Generalist","Springer Nature (BioMed Central)","For-profit","OA","1788"
"Biology of Reproduction","Development - Reproduction","Oxford University Press (OUP)","University Press","Hybrid","2627"
"Biology of the Cell","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit associated with a society","Hybrid","2720"
"Biology Open","Ecology & Evolution - Genetics; Generalist","The Company of Biologists","Non-profit","OA","1698"
"Biomedical Engineering and Computational Biology","Generalist - Computational Biology","Sage Publishing","For-profit","",""
"Biometals","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Springer Nature","For-profit associated with a society","Hybrid","2618"
"Biometrical Journal","Generalist - Methods","John Wiley & Sons","For-profit","Hybrid","2469"
"Biometrics","Ecology & Evolution - Theory; Generalist - Methods","Oxford University Press (OUP)","For-profit associated with a society","Hybrid","2372"
"Biometrika","Generalist - Methods","Oxford University Press (OUP)","University Press","Hybrid","2317"
"Biomicrofluidics","Molecular & Cellular Biology - Structural Biology and Biophysics","American Institute of Physics (AIP) Publishing","Non-profit","Hybrid","2618"
"Biomolecules and Therapeutics","Molecular & Cellular Biology - Biochemistry and Molecular Biology","The Korean Society of Applied Pharmacology","Non-profit","Hybrid","619"
"Bioorganic and Medicinal Chemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","2342"
"Biopharmaceutics & Drug Disposition","Molecular & Cellular Biology - Pharmacology and Toxicology","John Wiley & Sons","For-profit","Hybrid","2709"
"Biopolymers","Molecular & Cellular Biology - Structural Biology and Biophysics","John Wiley & Sons","For-profit","Hybrid","2434"
"Biorheology","Generalist - Mathematical Biology; Molecular & Cellular Biology - Cell Biology and Developmental Biology","Sage Publishing (IOS Press)","For-profit","",""
"Bioscience","Ecology & Evolution - Genetics; Generalist","Oxford University Press (OUP)","University Press","Hybrid","5289"
"Biostatistics","Generalist - Statistics","Oxford University Press (OUP)","University Press","Hybrid","1687"
"Biosystema","Ecology & Evolution - Genetics","Editions Materiologiques","For-profit associated with a society","Subscription",""
"Biota Neotropica","Ecology & Evolution - Genetics","Scielo","Non-profit","OA","435"
"Biotechnologie, Agronomie, Société et Environnement/Biotechnology, Agronomy, Society and Environment (BASE)","Ecology & Evolution - Generalist","Université de Liège","University Press","OA diamond","0"
"Biotropica","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","1969"
"Bipolar Disorders","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit","Hybrid","2120"
"Bird Conservation International","Ecology & Evolution - Applied Ecology","Cambridge University Press (CUP)","University Press","Hybrid","406"
"Bird Study","Ecology & Evolution - Zoology","Taylor & Francis Group","For-profit","Subscription","1372"
"Birth Defects Research","Cancer - Development and Oncology; Development - Perinatology and Birth Defects/Teratology","John Wiley & Sons","For-profit associated with a society","Hybrid","2962"
"BJPsych Open","Neurosciences - Clinical Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","OA",""
"Blood Cancer Journal","Cancer - Hematopoietic and Cardiovascular Cancer","Springer Nature","For-profit","OA","3007"
"Blood Cells, Molecules, and Diseases","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit","Hybrid","3257"
"BMB Reports","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Korean Society for Biochemistry and Molecular Biology (KSBMB)","Non-profit","OA","1234"
"BMC Bioinformatics","Generalist - Computational Biology","Springer Nature (BioMed Central)","For-profit","OA","2079"
"BMC Biology","Generalist","Springer Nature (BioMed Central)","For-profit","OA","2580"
"BMC Cancer","Cancer - Generalist","Springer Nature (BioMed Central)","For-profit","OA","2362"
"BMC Endocrine Disorders","Anatomy & Physiology - Endocrinology","Springer Nature (BioMed Central)","For-profit","OA","1947"
"BMC Genomic data","Genetics & Genomics - Genomics","Springer Nature (BioMed Central)","For-profit","OA","1411"
"BMC Genomics","Genetics & Genomics - Genomics","Springer Nature (BioMed Central)","For-profit","OA","2226"
"BMC Immunology","Immunology - Generalist/Classical Immunology","Springer Nature","For-profit","OA","2371"
"BMC Infectious Diseases","Immunology - Immunopathology","Springer Nature (BioMed Central)","For-profit","OA","2246"
"BMC Medical Genomics","Genetics & Genomics - Medical Genetics","Springer Nature (BioMed Central)","For-profit","OA","2620"
"BMC Microbiology","Immunology - Immunogenetics, Molecular and Cellular Immunology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Springer Nature (BioMed Central)","For-profit","OA","2154"
"BMC Molecular and Cell Biology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature (BioMed Central)","For-profit","OA","1833"
"BMC Neurology","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","2156"
"BMC Neuroscience","Neurosciences - Generalist","Springer Nature (BioMed Central)","For-profit","OA","2958"
"BMC Plant Biology","Plants - Generalist","Springer Nature (BioMed Central)","For-profit","OA","2262"
"BMC Pregnancy and Childbirth","Development - Pregnancy and Embryology","Springer Nature (BioMed Central)","For-profit","OA","2252"
"BMC Psychiatry","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","2290"
"BMC Psychology","Neurosciences - Cognitive Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","1351"
"BMC sports science, medicine and rehabilitation","Anatomy & Physiology - Sport Science","Springer Nature (BioMed Central)","For-profit","OA","2116"
"BMC Women's Health","Generalist","Springer Nature (BioMed Central)","For-profit","OA","2082"
"BMJ Mental Health","Neurosciences - Clinical Neuroscience","BMJ Group","Non-profit","OA","3857"
"BMJ Open","Generalist - Clinical/Medicine","BMJ Group","Non-profit","OA","2174"
